job_title,agency,grade,comprate,hire_date,appointment_type,hire_year,years_of_service,grade_numeric,comprate_range
Environmental Protection Speci,DOEE,12,107046.0,2017-09-18,CS - Term,2017,9,12.0,100K-125K
Correctional Officer,DOC,08,79453.0,2011-10-24,CS - Reg,2011,15,8.0,75K-100K
Supervisory Energy Program Spe,DOEE,14,119000.0,2006-09-05,MSS - Reg,2006,20,14.0,100K-125K
Program Manager,DOES,12,98689.97,2019-06-10,MSS - Reg,2019,7,12.0,75K-100K
Environmental Protection Speci,DOEE,11,84517.0,2022-12-05,CS - Term,2022,4,11.0,75K-100K
Budget Analyst,DOEE,11,96554.0,2024-09-23,CS - Reg,2024,2,11.0,75K-100K
Paid Family Leave Claims Exami,DOES,11,82111.0,2017-05-01,CS - Term,2017,9,11.0,75K-100K
Environmental Engineer,DOEE,13,117029.0,2018-11-26,CS - Term,2018,8,13.0,100K-125K
Fish & Wildlife Biologist,DOEE,12,101290.0,2011-11-21,CS - Term,2011,15,12.0,100K-125K
Freedom Of Information Act Spe,DOEE,13,96052.0,2000-10-01,CS - Term,2000,26,13.0,75K-100K
Environmental Protection Speci,DOEE,11,84517.0,2022-03-14,CS - Term,2022,4,11.0,75K-100K
Workforce Dev. Spec. (Bil.),DOES,11,96547.0,2009-06-22,CS - Reg,2009,17,11.0,75K-100K
Workforce Development Spec.,DOES,09,54183.0,2025-06-09,CS - Temp,2025,1,9.0,50K-75K
Executive Assistant,DOEE,12,103333.0,1993-09-08,CS - Reg,1993,33,12.0,100K-125K
Environmental Protection Speci,DOEE,14,142350.0,2012-10-09,CS - Term,2012,14,14.0,125K-150K
Student Trainee (Intern),DOEE,07,44859.0,2011-04-18,CS - Temp,2011,15,7.0,Under 50K
Program Analyst,DOEE,12,109924.0,2015-03-23,CS - Reg,2015,11,12.0,100K-125K
Entomologist,DOEE,13,130717.0,2009-03-16,CS - Reg,2009,17,13.0,125K-150K
Environmental Protection Speci,DOEE,11,86923.0,2013-10-03,CS - Reg,2013,13,11.0,75K-100K
Attorney Advisor,DOEE,14,183031.0,2000-06-05,LS - Reg,2000,26,14.0,150K+
Correctional Officer,DOC,08,68455.0,2021-07-19,CS - Reg,2021,5,8.0,50K-75K
Program Analyst,DOES,13,107984.0,2015-09-21,CS - Reg,2015,11,13.0,100K-125K
Program Analyst,DOES,12,90805.0,2024-12-30,CS - Term,2024,2,12.0,75K-100K
Unemployment Compensation Clai,DOES,09,76060.0,2009-04-27,CS - Reg,2009,17,9.0,75K-100K
Energy Program Specialist,DOEE,12,98412.0,2021-12-06,CS - Term,2021,5,12.0,75K-100K
Staff Assistant,DOES,09,68116.0,2007-08-20,CS - Reg,2007,19,9.0,50K-75K
Energy Program Officer,DOEE,14,125000.0,2023-01-17,MSS - Reg,2023,3,14.0,100K-125K
Program Analyst,DOEE,11,84517.0,2016-06-13,CS - Term,2016,10,11.0,75K-100K
Staff Assistant,DOES,11,82069.0,2002-01-15,CS - Reg,2002,24,11.0,75K-100K
Workforce Development Speciali,DOES,11,91735.0,2013-03-11,CS - Reg,2013,13,11.0,75K-100K
Paid Family Leave Tax Examiner,DOES,09,70102.0,2020-12-07,CS - Term,2020,6,9.0,50K-75K
Policy Analyst,DOEE,13,106763.0,2025-01-27,CS - Term,2025,1,13.0,100K-125K
Program Analyst,DOES,12,98412.0,2025-08-11,CS - Term,2025,1,12.0,75K-100K
Program Analyst,DOEE,12,98412.0,2020-09-28,CS - Term,2020,6,12.0,75K-100K
Supv Environmental Protection,DOEE,14,139337.79,1988-08-15,MSS - Reg,1988,38,14.0,125K-150K
Contact Representative,DOES,09,55915.0,2023-10-23,CS - Term,2023,3,9.0,50K-75K
Environmental Engineer,DOEE,12,118558.0,2002-02-25,CS - Reg,2002,24,12.0,100K-125K
Environmental Protection Speci,DOEE,11,86923.0,2019-07-22,CS - Term,2019,7,11.0,75K-100K
Program Manager,DOES,13,117500.0,2012-05-29,MSS - Reg,2012,14,13.0,100K-125K
Environmental Protection Speci,DOEE,12,112802.0,2006-08-07,CS - Reg,2006,20,12.0,100K-125K
Energy Assistance Processor,DOEE,09,78046.0,1997-10-27,CS - Reg,1997,29,9.0,75K-100K
Toxicologist (Risk Assessment),DOEE,14,162565.0,2009-09-14,CS - Reg,2009,17,14.0,150K+
Program Analyst,DOES,11,82111.0,2025-12-01,CS - Term,2025,1,11.0,75K-100K
Program Manager,DOES,12,105657.0,2005-07-18,MSS - Reg,2005,21,12.0,100K-125K
Workforce Development Spec.,DOES,09,66130.0,2022-06-06,CS - Term,2022,4,9.0,50K-75K
Program Analyst,DOES,12,92656.0,2017-03-06,CS - Term,2017,9,12.0,75K-100K
Workers' Compensation Claims E,DOES,09,78046.0,2007-01-08,CS - Reg,2007,19,9.0,75K-100K
Supv Environmental Protection,DOEE,14,117500.0,2019-09-03,MSS - Reg,2019,7,14.0,100K-125K
Wage & Hour Comp Spec,DOES,11,79705.0,2020-08-17,CS - Reg,2020,6,11.0,75K-100K
Railroad Safety Inspector,DOEE,13,110185.0,2024-08-12,CS - Term,2024,2,13.0,100K-125K
Workforce Development Speciali,DOES,11,86923.0,2014-01-13,CS - Reg,2014,12,11.0,75K-100K
Environmental Protection Speci,DOEE,11,79705.0,2022-01-31,CS - Term,2022,4,11.0,75K-100K
Support Services Specialist,DOES,12,107046.0,1994-09-19,CS - Reg,1994,32,12.0,100K-125K
Environmental Protection Speci,DOEE,11,91735.0,2023-07-03,CS - Term,2023,3,11.0,75K-100K
Unemployment Compensation Clai,DOES,11,96547.0,2009-02-04,CS - Reg,2009,17,11.0,75K-100K
Environmental Protection Speci,DOEE,12,104168.0,2020-03-30,CS - Term,2020,6,12.0,100K-125K
Chief Information Officer,DOES,16,197337.0,2004-08-09,MSS - Reg,2004,22,16.0,150K+
Supervisory Attorney Advisor,DOEE,02,202736.72,2016-03-07,MSS - Reg,2016,10,2.0,150K+
Program Manager,DOES,14,136884.0,2018-12-10,MSS - Reg,2018,8,14.0,125K-150K
Environmental Protection Speci,DOEE,11,79705.0,2017-06-12,CS - Term,2017,9,11.0,75K-100K
Environmental Protection Speci,DOEE,11,79705.0,2024-04-22,CS - Term,2024,2,11.0,75K-100K
Environmental Protection Speci,DOEE,11,82111.0,2023-06-20,CS - Term,2023,3,11.0,75K-100K
Grants Management Specialist,DOH,12,118558.0,1987-06-22,CS - Reg,1987,39,12.0,100K-125K
Workforce Development Speciali,DOES,13,93069.0,2022-08-01,CS - Term,2022,4,13.0,75K-100K
Workforce Development Spec.,DOES,11,84517.0,2021-11-15,CS - Term,2021,5,11.0,75K-100K
Auditor,DOES,13,105001.0,2020-03-02,CS - Reg,2020,6,13.0,100K-125K
Vital Records Code Enforcement,DOH,09,70102.0,2020-09-14,CS - Term,2020,6,9.0,50K-75K
Staff Assistant,DOES,09,80032.0,2020-06-08,CS - Term,2020,6,9.0,75K-100K
Compliance Specialist,DOH,12,115680.0,1999-04-25,CS - Reg,1999,27,12.0,100K-125K
Workforce Development Spec.,DOES,09,74074.0,2017-02-21,CS - Term,2017,9,9.0,50K-75K
Workforce Development Spec.,DOES,12,104168.0,2012-09-24,CS - Reg,2012,14,12.0,100K-125K
Nursing Assistant,DOH,06,48055.0,2025-06-30,CS - Term,2025,1,6.0,Under 50K
Insurance Exam Worker Comp,DOES,11,96547.0,1980-03-20,CS - Reg,1980,46,11.0,75K-100K
Workforce Development Spec.,DOES,11,96547.0,1987-01-20,CS - Reg,1987,39,11.0,75K-100K
Supervisory Nurse Coordinator,DOH,13,128417.0,2025-06-30,MSS - Reg,2025,1,13.0,125K-150K
Unemployment Compensation Clai,DOES,09,80032.0,2016-11-28,CS - Reg,2016,10,9.0,75K-100K
Program Manager,DOES,12,100022.0,2018-04-30,MSS - Reg,2018,8,12.0,100K-125K
Program Manager,DOES,14,128380.06,2005-10-17,MSS - Reg,2005,21,14.0,125K-150K
Program Manager,DOES,12,92500.0,2015-09-01,MSS - Reg,2015,11,12.0,75K-100K
Hearing Appeals Examiner,DOES,12,90805.0,2003-01-13,CS - Term,2003,23,12.0,75K-100K
Workforce Development Spec.,DOES,09,62158.0,2024-07-01,CS - Term,2024,2,9.0,50K-75K
Nursing Assistant,DOH,06,49673.0,2025-06-30,CS - Term,2025,1,6.0,Under 50K
Licensed Practical Nurse,DOH,09,87998.0,2025-06-30,CS - Term,2025,1,9.0,75K-100K
Data Analyst,DOH,12,92656.0,2024-01-16,CS - Term,2024,2,12.0,75K-100K
Wage & Hour Comp Spec,DOES,11,82111.0,1987-09-08,CS - Reg,1987,39,11.0,75K-100K
Unemployment Tax Auditor,DOES,12,98322.0,2024-02-12,CS - Term,2024,2,12.0,75K-100K
Qual. Control Coordinator (Ui),DOES,12,95816.0,2015-07-27,CS - Reg,2015,11,12.0,75K-100K
Program Analyst,DOES,12,80784.0,2024-06-17,CS - Term,2024,2,12.0,75K-100K
Workforce Development Speciali,DOES,11,91735.0,2009-06-22,CS - Term,2009,17,11.0,75K-100K
Unemployment Tax Examiner,DOES,11,77299.0,2024-04-22,CS - Term,2024,2,11.0,75K-100K
Workforce Development Spec.,DOES,09,54183.0,2025-06-16,CS - Temp,2025,1,9.0,50K-75K
Supervisory Nurse Coordinator,DOH,13,120542.0,2025-09-22,MSS - Reg,2025,1,13.0,100K-125K
Staff Assistant,DOES,09,72088.0,2018-05-29,CS - Term,2018,8,9.0,50K-75K
Unemployment Tax Examiner,DOES,09,76060.0,2015-09-08,CS - Term,2015,11,9.0,75K-100K
Attorney Advisor,DOES,13,135017.0,2023-03-13,LS - Reg,2023,3,13.0,125K-150K
Public Health Analyst,DOH,13,120451.0,2007-03-19,CS - Term,2007,19,13.0,100K-125K
Records And Information Manage,DOH,09,64144.0,2019-06-10,CS - Term,2019,7,9.0,50K-75K
Wage Hour Compliance Specialis,DOES,07,51456.0,2025-04-21,CS - Term,2025,1,7.0,50K-75K
Insurance Examiner,DOES,11,91735.0,1989-10-10,CS - Reg,1989,37,11.0,75K-100K
Division Chief,DOH,15,155000.0,2008-12-08,MSS - Reg,2008,18,15.0,150K+
Program Support Assistant (Oa),DOES,07,65760.0,1980-09-29,CS - Reg,1980,46,7.0,50K-75K
Program Analyst,DOES,13,99035.0,2022-05-09,CS - Reg,2022,4,13.0,75K-100K
Information Technology Special,DOES,13,113950.0,2019-04-01,CS - Reg,2019,7,13.0,100K-125K
Information Technology Special,DOES,13,96052.0,2023-11-20,CS - Reg,2023,3,13.0,75K-100K
Supervisory Program Manager,DOES,15,158600.5,2014-05-05,MSS - Reg,2014,12,15.0,150K+
Unemployment Call Center Repre,DOES,09,59378.0,2022-10-11,CS - Term,2022,4,9.0,50K-75K
Epidemiologist,DOH,12,101290.0,2021-11-08,CS - Term,2021,5,12.0,100K-125K
Program Analyst,DOES,12,103333.0,2020-07-06,CS - Term,2020,6,12.0,100K-125K
Grants Management Specialist,DOH,13,137561.0,2002-02-25,CS - Reg,2002,24,13.0,125K-150K
Paid Family Leave Tax Examiner,DOES,11,79705.0,2023-09-25,CS - Term,2023,3,11.0,75K-100K
Admin Law Judge,DOES,14,141707.0,1993-02-22,CS - Reg,1993,33,14.0,125K-150K
Legislative Affairs Officer,DOES,14,160216.0,2017-09-05,MSS - Reg,2017,9,14.0,150K+
Public Health Analyst,DOH,11,79705.0,2023-04-24,CS - Term,2023,3,11.0,75K-100K
Paid Family Leave Claims Exami,DOES,12,95534.0,2005-11-14,CS - Term,2005,21,12.0,75K-100K
Code & Rodent Inspector (Pest,DOH,11,82111.0,2022-07-18,CS - Reg,2022,4,11.0,75K-100K
Workforce Dev. Spec. (Bil.),DOES,11,94141.0,2009-03-30,CS - Term,2009,17,11.0,75K-100K
Administrative Law Judge,DOES,14,124091.0,2009-06-22,CS - Reg,2009,17,14.0,100K-125K
Program Manager,DOH,12,98188.0,2023-09-25,MSS - Reg,2023,3,12.0,75K-100K
Program Analyst,DOES,12,109924.0,2010-09-13,CS - Reg,2010,16,12.0,100K-125K
Unemployment Tax Accountant Sp,DOES,12,80784.0,2025-09-08,CS - Term,2025,1,12.0,75K-100K
Nursing Assistant,DOH,06,54527.0,2025-08-25,CS - Term,2025,1,6.0,50K-75K
Staff Assistant,DOES,11,77299.0,2018-01-08,CS - Reg,2018,8,11.0,75K-100K
Unemployment Compensation Clai,DOES,09,74074.0,2020-05-18,CS - Term,2020,6,9.0,50K-75K
Paid Family Leave Tax Examiner,DOES,11,79705.0,2023-11-06,CS - Term,2023,3,11.0,75K-100K
Compliance Specialist,DOH,12,101290.0,2006-05-15,CS - Reg,2006,20,12.0,100K-125K
Workforce Dev Spec. (1St Sourc,DOES,09,66130.0,2013-06-19,CS - Reg,2013,13,9.0,50K-75K
Public Health Advisor,DOH,11,89329.0,2010-11-08,CS - Reg,2010,16,11.0,75K-100K
Program Support Specialist,DOES,09,57647.0,2015-08-24,CS - Term,2015,11,9.0,50K-75K
Staff Assistant,DOES,09,80032.0,1984-10-01,CS - Reg,1984,42,9.0,75K-100K
Business Analyst,DOES,13,110967.0,1987-07-22,CS - Reg,1987,39,13.0,100K-125K
Program Manager,DOH,14,119643.13,2021-10-25,MSS - Reg,2021,5,14.0,100K-125K
Support Services Specialist,DOES,09,70102.0,2013-03-11,CS - Reg,2013,13,9.0,50K-75K
Wage & Hour Compliance Spec,DOES,09,68116.0,2021-11-08,CS - Term,2021,5,9.0,50K-75K
Staff Assistant,DOES,09,59378.0,2025-02-24,CS - Term,2025,1,9.0,50K-75K
Medical Officer,DOH,3C,118617.84,2002-10-27,MSS - Reg,2002,24,,100K-125K
Staff Assistant,DOH,11,94141.0,1988-06-21,CS - Reg,1988,38,11.0,75K-100K
Sanitarian,DOH,11,86931.0,2022-09-12,CS - Reg,2022,4,11.0,75K-100K
Information Technology Spec.,DOES,12,85794.0,2023-05-08,CS - Reg,2023,3,12.0,75K-100K
Quality Assessment Specialist,DOH,13,137561.0,2004-10-18,CS - Reg,2004,22,13.0,125K-150K
Economist,DOES,13,96052.0,2012-01-16,CS - Term,2012,14,13.0,75K-100K
Licensing Assistant,DOH,07,60396.0,2021-04-12,CS - Reg,2021,5,7.0,50K-75K
Supervisory Unemployment Compe,DOES,13,112356.34,2003-01-27,MSS - Reg,2003,23,13.0,100K-125K
Division Chief,DOH,15,144298.49,2014-12-01,MSS - Reg,2014,12,15.0,125K-150K
Program Manager,DOH,14,153250.0,1998-06-22,MSS - Reg,1998,28,14.0,150K+
Program Support Specialist,DOES,11,69481.0,2023-07-03,CS - Term,2023,3,11.0,50K-75K
Workforce Development Spec.,DOES,12,104168.0,2018-05-16,CS - Reg,2018,8,12.0,100K-125K
Deputy Director For Strategic,DOH,15,146519.0,2024-07-29,MSS - Reg,2024,2,15.0,125K-150K
Program Analyst,DOES,13,107984.0,2018-06-25,CS - Term,2018,8,13.0,100K-125K
Unemployment Tax Officer,DOES,14,114441.0,2019-06-10,MSS - Temp,2019,7,14.0,100K-125K
Program Manager,DOH,13,108038.27,2017-08-21,MSS - Reg,2017,9,13.0,100K-125K
Program Analyst,DOES,12,101290.0,2025-11-03,CS - Term,2025,1,12.0,100K-125K
Nursing Assistant,DOH,06,52909.0,2025-06-30,CS - Term,2025,1,6.0,50K-75K
Auditor,DOES,12,93311.0,2022-03-14,CS - Reg,2022,4,12.0,75K-100K
Sanitarian (Qmrp),DOH,12,109922.0,2014-06-30,CS - Reg,2014,12,12.0,100K-125K
Clerical Assistant(Oa),DOES,06,60999.0,1989-02-19,CS - Reg,1989,37,6.0,50K-75K
Nursing Assistant,DOH,06,51291.0,2025-06-30,CS - Term,2025,1,6.0,50K-75K
Information Technology Special,DOES,13,137561.0,2006-07-24,CS - Reg,2006,20,13.0,125K-150K
Executive Assistant,DOES,12,85794.0,2023-03-27,CS - Term,2023,3,12.0,75K-100K
Nurse Specialist I,DOH,11,125970.0,2002-10-27,CS - Reg,2002,24,11.0,125K-150K
Supvy Manpower Develop Spec,DOES,13,122955.71,2014-10-20,MSS - Reg,2014,12,13.0,100K-125K
Public Health Advisor,DOH,12,104168.0,2023-12-04,CS - Term,2023,3,12.0,100K-125K
Clerical Assistant,DOES,06,60999.0,1990-06-26,CS - Reg,1990,36,6.0,50K-75K
Workforce Dev Spec. (1St Sourc,DOES,09,72088.0,2018-05-21,CS - Term,2018,8,9.0,50K-75K
Program Coordinator,DOH,11,82111.0,2004-09-20,CS - Term,2004,22,11.0,75K-100K
Qual. Control Coordinator (Ui),DOES,12,85794.0,2008-10-14,CS - Term,2008,18,12.0,75K-100K
Uc Claims Examiner,DOES,11,84517.0,2016-11-28,CS - Term,2016,10,11.0,75K-100K
Unemployment Compensation Clai,DOES,09,80032.0,2009-11-09,CS - Reg,2009,17,9.0,75K-100K
Support Services Specialist,DOES,09,72088.0,2022-08-15,CS - Term,2022,4,9.0,50K-75K
Unemployment Compensation Clai,DOES,09,70102.0,2009-11-10,CS - Term,2009,17,9.0,50K-75K
Unemployment Tax Examiner,DOES,11,91735.0,2015-11-16,CS - Term,2015,11,11.0,75K-100K
Unemployment Compensation Clai,DOES,09,55915.0,2023-12-04,CS - Term,2023,3,9.0,50K-75K
Workforce Development Spec.,DOES,09,62158.0,2025-05-19,CS - Term,2025,1,9.0,50K-75K
Workforce Development Spec.,DOES,11,74893.0,2022-12-05,CS - Term,2022,4,11.0,50K-75K
Nursing Assistant,DOH,06,46437.0,2025-06-30,CS - Term,2025,1,6.0,Under 50K
Unemployment Compensation Clai,DOES,09,70102.0,2022-12-19,CS - Term,2022,4,9.0,50K-75K
Paid Family Leave Tax Examiner,DOES,11,79705.0,2020-09-14,CS - Term,2020,6,11.0,75K-100K
Unemployment Tax Examiner,DOES,11,84517.0,1998-07-06,CS - Term,1998,28,11.0,75K-100K
Program Manager,DOH,13,127029.91,1999-11-08,MSS - Reg,1999,27,13.0,125K-150K
Information Technology Special,DOES,14,141707.0,2017-01-23,CS - Term,2017,9,14.0,125K-150K
Workforce Development Spec.,DOES,09,70102.0,2021-06-21,CS - Term,2021,5,9.0,50K-75K
Uc Claims Examiner,DOES,11,86923.0,2020-06-22,CS - Term,2020,6,11.0,75K-100K
Grants Management Specialist,DOH,13,106763.0,2016-05-16,CS - Reg,2016,10,13.0,100K-125K
Licensed Practical Nurse,DOH,09,87998.0,2005-05-28,CS - Term,2005,21,9.0,75K-100K
Unemployment Compensation Clai,DOES,09,76060.0,2013-07-15,CS - Term,2013,13,9.0,75K-100K
Emergency Preparedness Plannin,DOH,14,162565.0,2004-06-04,CS - Reg,2004,22,14.0,150K+
Program Support Specialist,DOH,09,68116.0,2024-01-02,CS - Term,2024,2,9.0,50K-75K
Program Analyst,DOES,12,103333.0,2025-04-21,CS - Term,2025,1,12.0,100K-125K
Chief Administrative Law Judge,DOES,15,160000.0,2008-12-08,MSS - Reg,2008,18,15.0,150K+
Unemployment Compensation Clai,DOES,09,70102.0,2015-08-10,CS - Term,2015,11,9.0,50K-75K
Supervisory Unemployment Compe,DOES,13,125345.0,2018-07-09,MSS - Reg,2018,8,13.0,125K-150K
Clerical Assistant (Oa),DOES,07,47975.0,2023-07-17,CS - Term,2023,3,7.0,Under 50K
Unemployment Compensation Clai,DOES,11,91735.0,1990-10-16,CS - Reg,1990,36,11.0,75K-100K
Unemployment Tax Examiner,DOES,11,96547.0,2015-10-05,CS - Reg,2015,11,11.0,75K-100K
Supvy Unemployment Tax Examine,DOES,13,99513.0,2015-05-18,MSS - Reg,2015,11,13.0,75K-100K
Unemployment Compensation Clai,DOES,09,68116.0,2018-09-04,CS - Term,2018,8,9.0,50K-75K
Clerical Assistant(Oa),DOES,06,60999.0,1989-05-22,CS - Reg,1989,37,6.0,50K-75K
Supervisory Code And Rodent In,DOH,12,86533.2,2018-01-08,MSS - Reg,2018,8,12.0,75K-100K
Program Analyst,DOES,11,74893.0,2025-08-25,CS - Term,2025,1,11.0,50K-75K
Unemployment Tax Examiner,DOES,09,64144.0,2024-02-26,CS - Term,2024,2,9.0,50K-75K
Program Analyst,DOES,11,96547.0,2021-03-01,CS - Term,2021,5,11.0,75K-100K
Chief Of External Affairs,DOES,15,177839.0,2017-06-19,MSS - Reg,2017,9,15.0,150K+
Wage & Hour Comp Spec (Biling),DOES,12,112802.0,2007-04-30,CS - Reg,2007,19,12.0,100K-125K
Paid Family Leave Tax Examiner,DOES,11,86923.0,2016-10-17,CS - Term,2016,10,11.0,75K-100K
Senior Deputy Director,DOH,16,174783.0,2014-08-11,MSS - Reg,2014,12,16.0,150K+
Supvy Unemployment Tax Examine,DOES,13,107397.0,2009-01-05,MSS - Reg,2009,17,13.0,100K-125K
Staff Assistant,DOES,12,80784.0,2020-10-13,CS - Reg,2020,6,12.0,75K-100K
Program Support Assistant (Oa),DOES,07,62184.0,2017-08-21,CS - Reg,2017,9,7.0,50K-75K
Supervisory Public Health Anal,DOH,14,160216.0,2024-05-20,MSS - Reg,2024,2,14.0,150K+
Health Licensing Specialist,DOH,11,82111.0,2009-12-07,CS - Reg,2009,17,11.0,75K-100K
Staff Assistant,DOES,11,73677.0,2013-08-12,CS - Reg,2013,13,11.0,50K-75K
Assoc Dir For Admin Svcs,DOES,15,155995.42,2006-04-03,MSS - Reg,2006,20,15.0,150K+
Program Analyst,DOES,12,83289.0,2009-06-30,CS - Term,2009,17,12.0,75K-100K
Unemployment Tax Examiner,DOES,09,64144.0,2021-08-30,CS - Term,2021,5,9.0,50K-75K
Workforce Dev Spec. (1St Sourc,DOES,09,70102.0,2003-06-23,CS - Reg,2003,23,9.0,50K-75K
Grants Management Specialist,DOH,13,110185.0,2017-05-15,CS - Reg,2017,9,13.0,100K-125K
Attorney Advisor,DOES,14,140767.0,2025-07-14,LS - Reg,2025,1,14.0,125K-150K
Sanitarian,DOH,09,76070.0,2009-02-02,CS - Reg,2009,17,9.0,75K-100K
Program Coordinator,DOH,12,107046.0,2019-10-28,CS - Term,2019,7,12.0,100K-125K
Assoc. Dir. For Lm And Wfr&A,DOES,15,148247.2,2021-08-02,MSS - Reg,2021,5,15.0,125K-150K
Environmental Protection Speci,DOH,12,115680.0,2007-10-12,CS - Reg,2007,19,12.0,100K-125K
Nursing Assistant,DOH,06,48055.0,2025-07-28,CS - Term,2025,1,6.0,Under 50K
Nursing Assistant,DOH,06,51291.0,2025-07-28,CS - Term,2025,1,6.0,50K-75K
Chief Information Technology O,DOH,16,197337.0,2008-08-04,MSS - Reg,2008,18,16.0,150K+
It Spec. (Customer Support),DPR,12,83289.0,2018-02-05,CS - Reg,2018,8,12.0,75K-100K
Program Specialist,DOH,12,107046.0,2000-05-08,CS - Reg,2000,26,12.0,100K-125K
Public Health Analyst,DOH,12,107046.0,2022-07-05,CS - Term,2022,4,12.0,100K-125K
Health Licensing Specialist,DOH,09,78046.0,2009-02-17,CS - Reg,2009,17,9.0,75K-100K
Rec. Specialist (Aquatics),DPR,07,55032.0,2023-06-20,CS - Term,2023,3,7.0,50K-75K
Nurse Specialist Ii,DOH,12,132267.0,2003-05-05,CS - Reg,2003,23,12.0,125K-150K
Executive Director,DOH,14,130413.8,2005-04-18,CS - Reg,2005,21,14.0,125K-150K
Deputy Director For Strategic,DOH,15,160000.0,2024-04-22,MSS - Reg,2024,2,15.0,150K+
Sanitarian,DOH,09,78058.0,1990-10-15,CS - Reg,1990,36,9.0,75K-100K
Program Coordinator,DOH,11,77299.0,2024-06-17,CS - Term,2024,2,11.0,75K-100K
Investigator,DOH,09,70102.0,2020-08-31,CS - Term,2020,6,9.0,50K-75K
Data Analyst,DOH,12,104168.0,2022-02-28,CS - Term,2022,4,12.0,100K-125K
Statistician,DOH,13,117029.0,2021-12-20,CS - Reg,2021,5,13.0,100K-125K
Customer Service Representativ,DPR,05,42892.0,2018-04-02,CS - Reg,2018,8,5.0,Under 50K
Recreation Specialist,DPR,07,55965.6,1999-08-30,CS - Reg,1999,27,7.0,50K-75K
Staff Assistant,DOH,11,96547.0,2000-01-31,CS - Reg,2000,26,11.0,75K-100K
Sanitarian,DOH,12,127190.0,1984-01-23,CS - Reg,1984,42,12.0,125K-150K
Supervisory Nurse Coordinator,DOH,13,123454.0,2025-06-30,MSS - Reg,2025,1,13.0,100K-125K
Nursing Assistant,DOH,06,52909.0,2025-07-28,CS - Term,2025,1,6.0,50K-75K
Supervisory Sanitarian,DOH,13,104122.25,1992-03-23,MSS - Reg,1992,34,13.0,100K-125K
Program Specialist,DOH,11,74893.0,2017-03-20,CS - Reg,2017,9,11.0,50K-75K
Visual Information Specialist,DPR,11,84167.0,2003-06-10,CS - Reg,2003,23,11.0,75K-100K
Epidemiologist,DOH,13,113607.0,2023-05-22,CS - Term,2023,3,13.0,100K-125K
Statistical Assistant,DOH,09,66130.0,2022-12-05,CS - Term,2022,4,9.0,50K-75K
Division Chief,DOH,15,142000.0,2016-04-18,MSS - Reg,2016,10,15.0,125K-150K
Materials Handler,DPR,07,68390.4,2011-06-22,CS - Reg,2011,15,7.0,50K-75K
Health Licensing Specialist,DOH,11,84517.0,2008-06-23,CS - Reg,2008,18,11.0,75K-100K
Supervisory Nurse Coordinator,DOH,13,128000.0,2025-06-30,MSS - Reg,2025,1,13.0,125K-150K
Administrative Officer,DOH,14,141707.0,2000-09-10,CS - Reg,2000,26,14.0,125K-150K
Health Services Program Specia,DOH,12,98412.0,2024-01-16,CS - Reg,2024,2,12.0,75K-100K
Parks And Recreation Summer Wo,DPR,00A,45760.0,2023-07-03,CS - Reg,2023,3,,Under 50K
Executive Assistant,DOH,12,95816.0,2022-05-09,CS - Term,2022,4,12.0,75K-100K
Health Licensing Specialist,DOH,09,64144.0,2023-06-05,CS - Reg,2023,3,9.0,50K-75K
Materials Handler,DPR,07,62712.0,2017-05-30,CS - Reg,2017,9,7.0,50K-75K
Supvy Recreation Spec (Pool Ma,DPR,11,74282.78,2011-05-25,MSS - Reg,2011,15,11.0,50K-75K
Supervisory Nurse Coordinator,DOH,13,120542.0,2025-07-14,MSS - Reg,2025,1,13.0,100K-125K
Nursing Assistant,DOH,06,56145.0,2025-06-30,CS - Term,2025,1,6.0,50K-75K
Program Manager,DOH,13,105000.0,2025-04-21,MSS - Reg,2025,1,13.0,100K-125K
Health Informatics Specialist,DOH,13,117029.0,2010-03-29,CS - Reg,2010,16,13.0,100K-125K
Dep Dir For Strategy And Comm,DPR,16,185900.0,2010-01-04,MSS - Reg,2010,16,16.0,150K+
Health Licensing Specialist,DOH,09,70102.0,2008-08-04,CS - Reg,2008,18,9.0,50K-75K
Public Health Analyst (Bilingu,DOH,11,84517.0,2016-05-16,CS - Term,2016,10,11.0,75K-100K
It Specialist(Systems Administ,DOH,11,77299.0,2024-01-02,CS - Reg,2024,2,11.0,75K-100K
Nursing Assistant,DOH,06,46437.0,2025-08-25,CS - Term,2025,1,6.0,Under 50K
Program Manager,DOH,14,124890.7,2003-12-01,MSS - Reg,2003,23,14.0,100K-125K
Parks And Recreation Summer Wo,DPR,00A,52000.0,2021-06-07,CS - Temp,2021,5,,50K-75K
Epidemiologist,DOH,12,107046.0,2023-08-28,CS - Term,2023,3,12.0,100K-125K
Roving Leader (Outreach Coordi,DPR,11,91735.0,2003-12-29,CS - Reg,2003,23,11.0,75K-100K
Nursing Assistant,DOH,06,48055.0,2025-07-14,CS - Term,2025,1,6.0,Under 50K
Sanitarian (Qmrp),DOH,12,127190.0,1999-04-26,CS - Reg,1999,27,12.0,125K-150K
Supervisory Nurse Coordinator,DOH,13,124688.0,2025-06-30,MSS - Reg,2025,1,13.0,100K-125K
Program Coordinator,DOH,12,107046.0,2002-03-11,CS - Reg,2002,24,12.0,100K-125K
Therapy Asst,DPR,05,25335.5,2017-06-26,CS - Reg,2017,9,5.0,Under 50K
Attorney Advisor,DPR,13,146933.0,2005-06-13,CS - Reg,2005,21,13.0,125K-150K
